Id,Category
1,7
2,0
3,1
4,7
5,5
6,9
7,4
8,7
9,3
10,1
11,7
12,3
13,6
14,4
15,6
16,4
17,5
18,8
19,6
20,8
21,1
22,8
23,6
24,4
25,7
26,6
27,1
28,7
29,6
30,1
31,7
32,3
33,6
34,8
35,5
36,3
37,8
38,9
39,2
40,4
41,8
42,0
43,8
44,2
45,4
46,3
47,8
48,9
49,1
50,4
51,8
52,6
53,9
54,5
55,7
56,0
57,6
58,9
59,5
60,9
61,6
62,8
63,5
64,2
65,5
66,1
67,4
68,6
69,3
70,9
71,2
72,5
73,2
74,2
75,0
76,0
77,1
78,1
79,2
80,9
81,4
82,6
83,4
84,6
85,8
86,4
87,0
88,0
89,4
90,9
91,4
92,0
93,7
94,4
95,6
96,8
97,9
98,7
99,7
100,2
101,5
102,7
103,2
104,8
105,1
106,1
107,6
108,1
109,5
110,5
111,1
112,0
113,8
114,7
115,3
116,2
117,8
118,1
119,6
120,2
121,3
122,1
123,9
124,1
125,5
126,3
127,3
128,7
129,0
130,9
131,5
132,0
133,7
134,8
135,4
136,4
137,3
138,9
139,1
140,7
141,6
142,6
143,1
144,0
145,3
146,1
147,5
148,1
149,5
150,8
151,1
152,6
153,0
154,9
155,1
156,4
157,3
158,9
159,4
160,5
161,0
162,3
163,3
164,4
165,1
166,2
167,5
168,9
169,1
170,8
171,7
172,1
173,4
174,0
175,2
176,6
177,1
178,1
179,5
180,7
181,6
182,9
183,0
184,4
185,3
186,2
187,1
188,9
189,6
190,6
191,5
192,1
193,8
194,8
195,2
196,3
197,2
198,3
199,7
200,1
201,8
202,8
203,9
204,6
205,1
206,3
207,9
208,5
209,2
210,2
211,4
212,4
213,2
214,1
215,7
216,5
217,0
218,0
219,2
220,0
221,4
222,1
223,4
224,4
225,9
226,2
227,7
228,4
229,4
230,8
231,4
232,6
233,0
234,7
235,6
236,4
237,1
238,3
239,6
240,8
241,4
242,7
243,1
244,9
245,3
246,3
247,6
248,6
249,9
250,4
251,0
252,8
253,6
254,4
255,7
256,9
257,1
258,5
259,7
260,7
261,2
262,5
263,0
264,5
265,8
266,1
267,3
268,1
269,8
270,3
271,3
272,4
273,6
274,6
275,3
276,6
277,9
278,7
279,8
280,8
281,2
282,3
283,6
284,4
285,3
286,5
287,9
288,6
289,0
290,3
291,1
292,7
293,2
294,0
295,5
296,9
297,1
298,6
299,1
300,6
301,3
302,8
303,6
304,7
305,6
306,2
307,9
308,8
309,0
310,1
311,6
312,9
313,9
314,0
315,8
316,9
317,9
318,7
319,1
320,0
321,1
322,6
323,8
324,8
325,8
326,9
327,9
328,0
329,4
330,8
331,4
332,1
333,9
334,3
335,3
336,3
337,2
338,2
339,0
340,1
341,4
342,9
343,8
344,6
345,9
346,1
347,1
348,0
349,9
350,8
351,3
352,2
353,9
354,7
355,0
356,7
357,2
358,9
359,1
360,4
361,1
362,2
363,4
364,2
365,1
366,7
367,1
368,0
369,3
370,5
371,8
372,5
373,9
374,3
375,2
376,8
377,7
378,1
379,3
380,2
381,4
382,7
383,1
384,8
385,3
386,8
387,7
388,6
389,9
390,3
391,8
392,5
393,8
394,7
395,8
396,8
397,5
398,3
399,1
400,4
401,6
402,9
403,9
404,7
405,7
406,3
407,8
408,0
409,9
410,0
411,7
412,6
413,3
414,2
415,7
416,1
417,2
418,1
419,2
420,2
421,5
422,7
423,5
424,0
425,6
426,2
427,2
428,9
429,8
430,5
431,9
432,7
433,3
434,5
435,9
436,3
437,7
438,3
439,8
440,8
441,0
442,3
443,5
444,7
445,8
446,1
447,2
448,8
449,2
450,7
451,7
452,8
453,7
454,1
455,7
456,0
457,8
458,4
459,3
460,9
461,0
462,7
463,2
464,3
465,0
466,0
467,6
468,9
469,8
470,3
471,6
472,6
473,9
474,4
475,7
476,4
477,1
478,6
479,3
480,7
481,6
482,3
483,7
484,6
485,5
486,9
487,3
488,9
489,9
490,0
491,2
492,5
493,5
494,8
495,7
496,1
497,8
498,1
499,7
500,6
501,2
502,3
503,0
504,3
505,9
506,7
507,7
508,8
509,3
510,6
511,8
512,6
513,8
514,1
515,4
516,1
517,2
518,6
519,1
520,9
521,1
522,0
523,7
524,3
525,2
526,2
527,9
528,1
529,2
530,2
531,0
532,5
533,2
534,8
535,4
536,2
537,2
538,1
539,2
540,9
541,3
542,9
543,3
544,2
545,7
546,2
547,7
548,3
549,6
550,2
551,1
552,1
553,1
554,8
555,2
556,7
557,7
558,9
559,1
560,8
561,6
562,0
563,4
564,2
565,1
566,6
567,9
568,1
569,3
570,3
571,7
572,6
573,5
574,6
575,1
576,8
577,2
578,1
579,5
580,1
581,3
582,6
583,5
584,6
585,4
586,0
587,2
588,6
589,9
590,0
591,8
592,0
593,3
594,7
595,6
596,5
597,2
598,2
599,5
600,1
601,7
602,5
603,6
604,8
605,6
606,2
607,4
608,2
609,5
610,8
611,7
612,9
613,4
614,9
615,3
616,2
617,5
618,8
619,5
620,3
621,9
622,6
623,4
624,6
625,9
626,9
627,2
628,3
629,7
630,4
631,5
632,8
633,2
634,2
635,4
636,2
637,2
638,1
639,2
640,2
641,9
642,8
643,6
644,6
645,3
646,3
647,2
648,1
649,5
650,8
651,0
652,7
653,3
654,0
655,3
656,6
657,9
658,3
659,2
660,2
661,5
662,5
663,3
664,5
665,4
666,8
667,5
668,9
669,6
670,7
671,3
672,0
673,3
674,1
675,6
676,4
677,9
678,0
679,5
680,2
681,7
682,1
683,6
684,8
685,0
686,3
687,9
688,0
689,9
690,3
691,7
692,2
693,2
694,5
695,1
696,9
697,6
698,9
699,9
700,9
701,2
702,3
703,6
704,8
705,4
706,5
707,5
708,3
709,9
710,6
711,0
712,2
713,2
714,6
715,3
716,3
717,9
718,3
719,7
720,4
721,1
722,6
723,4
724,4
725,9
726,3
